V4,code,commodity,parent,Family Or Group,General Groups
H4,30224,"030224 - -- Turbots (Psetta maxima, Scophthalmidae)",3022,TURBOTS,TURBOTS
H2,30229,"Name: Flat fish (excl. of 0302.21-0302.23) [see list of conventions for species i ...
Description: Flat fish (excl. of 0302.21-0302.23) [see list of conventions for species included], fresh/chilled (excl. fillets/oth. fish meat of 03.04/livers & roes)",3022,FLAT FISH,FLAT FISH
H3,30229,"030229
Name: Flat fish (excl. of 0302.21-0302.23) [see list of conventions for species incld.], fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)
Description: -- Other",3022,FLAT FISH,FLAT FISH
H4,30229,"030229
 Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04. // - Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), exclu
Description: -- Other",3022,FLAT FISH,FLAT FISH
H2,30231,"Name: Albacore/longfinned tunas (Thunnus alalunga), fresh/chilled (excl. fillets/ ...
Description: Albacore/longfinned tunas (Thunnus alalunga), fresh/chilled (excl. fillets/oth. fish meat of 03.04/livers & roes)",3023,ALBACORE OR LONGFINNED TUNAS,TUNA
H3,30231,"Name: Albacore/longfinned tunas (Thunnus alalunga), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)
Description: -- Albacore or longfinned tunas (Thunnus alalunga)",3023,ALBACORE OR LONGFINNED TUNAS,TUNA
H4,30231,"Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04. // - Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes : // -- Albacore or longfinned tunas (Thunnus alalunga)
Description: -- Albacore or longfinned tunas (Thunnus alalunga)",3023,ALBACORE OR LONGFINNED TUNAS,TUNA
H2,30232,030232 - -- Yellowfin Tunas (Thunnus albacares),3023,YELLOWFIN TUNAS,TUNA
H3,30232,030232 - --  Yellowfin tunas (Thunnus albacares),3023,YELLOWFIN TUNAS,TUNA
H4,30232,030232 - -- Yellowfin tunas (Thunnus albacares),3023,YELLOWFIN TUNAS,TUNA
H2,30233,030233 - -- skipjack or stripe-bellied bonito,3023,"TUNAS, SKIPJACK OR STRIPE-BELLIED BONITO",TUNA
H3,30233,030233 - --  Skipjack or stripe-bellied bonito,3023,"TUNAS, SKIPJACK OR STRIPE-BELLIED BONITO",TUNA
H4,30233,030233 - -- Skipjack or stripe-bellied bonito,3023,"TUNAS, SKIPJACK OR STRIPE-BELLIED BONITO",TUNA
H2,30234,030234 - -- Bigeye Tunas (Thunnus obesus),3023,BIGEYE TUNAS,TUNA
H3,30234,030234 - --  Bigeye tunas (Thunnus obesus),3023,BIGEYE TUNAS,TUNA
H4,30234,030234 - -- Bigeye tunas (Thunnus obesus),3023,BIGEYE TUNAS,TUNA
H2,30235,030235 - -- Bluefin Tunas (Thunnus thynnus),3023,BLUEFIN TUNAS,TUNA
H3,30235,030235 - --  Bluefin tunas (Thunnus thynnus),3023,BLUEFIN TUNAS,TUNA
H4,30235,"030235 - -- Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",3023,ATLANTIC AND PACIFIC BLUEFIN TUNAS,TUNA
H2,30236,030236 - -- Southern Bluefin Tunas (Thunnus maccoyii),3023,SOUTHERN BLUEFIN TUNAS,TUNA
H3,30236,030236 - --  Southern bluefin tunas (Thunnus maccoyii),3023,SOUTHERN BLUEFIN TUNAS,TUNA
H4,30236,030236 - -- Southern bluefin tunas (Thunnus maccoyii),3023,SOUTHERN BLUEFIN TUNAS,TUNA
H2,30239,"030239 
Name: Tunas, skipjack & bonito (excl. of 0302.31-0302.36), fresh/chilled (excl. f ...
Description: Tunas, skipjack & bonito (excl. of 0302.31-0302.36), fresh/chilled (excl. fillets/oth. fish meat of 03.04/livers & roes)",3023,"TUNAS, SKIPJACK OR STRIPE-BELLIED BONITO",TUNA
H3,30239,"030239
Name: Tunas, skipjack & bonito (excl. of 0302.31-0302.36), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)
Description: -- Other",3023,"TUNAS, SKIPJACK OR STRIPE-BELLIED BONITO",TUNA
H4,30239,"030239 
Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04. // - Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), e
Description: -- Other",3023,"TUNAS, SKIPJACK OR STRIPE-BELLIED BONITO",TUNA
H2,30240,"030240 - - Herrings (Clupea harengus, Clupea pallasii), excluding Livers and roes",302,HERRINGS,HERRINGS
H3,30240,"030240 - -  Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes",302,HERRINGS,HERRINGS
H4,30241,"030241 - -- Herrings (Clupea harengus, Clupea pallasii)",3024,HERRINGS,HERRINGS
H4,30242,030242 - -- Anchovies (Engraulis spp.),3024,ANCHOVIES,ANCHOVIES
H4,30243,"030243 - -- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",3024,"SARDINES , SARDINELLA , BRISLING OR SPRATS",SARDINES
H4,30244,"030244 - -- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",3024,MACKEREL,MACKEREL
H4,30245,030245 - -- Jack and horse mackerel (Trachurus spp.),3024,JACK AND HORSE MACKEREL,MACKEREL
H4,30246,030246 - -- Cobia (Rachycentron canadum),3024,COBIA,COBIA
H4,30247,030247 - -- Swordfish (Xiphias gladius),3024,SWORDFISH,SWORDFISH
